# Lista de Achievements - Warface

**Total:** 3417 achievements
- **Insignias (Badge):** 757
- **Fitas (Stripe):** 1688
- **Marcas (Mark):** 972

---

## INSIGNIAS (Badge)

| ID | Nome (PT) | Amount | Arquivo |
| 235 | Direto da Sibéria | 5000 | ar04kill.xml |
| 236 | Qualidade Alemã | 5000 | ar06kill.xml |
| 237 | Forças ROK | 5000 | ar09kill.xml |
| 238 | Operações Especiais | 5000 | ar11kill.xml |
| 239 | Combate Avançado | 5000 | ar20kill.xml |
| 255 | Domínio do SVD | 5000 | sr02kill.xml |
| 256 | Tiro Certo | 5000 | sr05kill.xml |
| 257 | Intervenção | 5000 | sr08kill.xml |
| 258 | Azul-Marinho | 5000 | sr12kill.xml |
| 259 | Domínio do SIG 550 | 5000 | sr22kill.xml |
| 260 | Domínio do M16 SPR | 5000 | sr23kill.xml |
| 261 | Executor | 5000 | kn01kill.xml |
| 262 | Domínio da Ultra Marine | 5000 | kn02kill.xml |
| 263 | Domínio da Faca Militar | 5000 | kn04kill.xml |
| 264 | Coveiro | 5000 | kn05kill.xml |
| 272 | O Inverno Chegou | 1000 | snowkill.xml |
| 275 | Da Rússia, Com Amor | 5000 | ar22kill.xml |
| 276 | Monte Tabor | 5000 | ar01kill.xml |
| 278 | Fusil d'Assaut | 5000 | ar13kill.xml |
| 279 | Qing Buqiang Zu | 5000 | ar16kill.xml |
| 280 | Forças Armadas Belgas | 5000 | ar10kill.xml |
| 281 | Fuzileiro Naval | 5000 | ar12kill.xml |
| 282 | Homem de Lata | 5000 | kn03kill.xml |
| 284 | FN SCAR-H de Elite | 1000 | ar11_crownkill.xml |
| 285 | ACR de Elite | 1000 | ar20_crownkill.xml |
| 293 | AS50 de Elite | 1000 | sr04_crownkill.xml |
| 301 | Guerra Ártica | 5000 | sr14kill.xml |
| 303 | Exército Popular de Libertação | 5000 | sr30kill.xml |
| 309 | Guerreiro Digital | 1000 | camo07.xml |
| 310 | Schweizer Armee | 5000 | ar08kill.xml |
| 315 | Topo da Cadeia Alimentar | 999 | smg25_gold01kill.xml |
| 316 | Amor até a morte | 1 | ru_love_stripe_01.xml |
| 399 | Condições Áridas | 5000 | ar17kill.xml |
| 400 | Batalha Melhorada | 5000 | sr13kill.xml |
| 401 | Pontuador dos Bons | 250 | ppes_more1.xml |
| 402 | Pontuador de Alto Nível | 250 | ppes_more2.xml |
| 403 | Pontuador Profissional | 250 | ppes_more3.xml |
| 407 | Armadura? Que Armadura? | 500 | heavygunnersniper3.xml |
| 419 | Supersônico | 500 | ppes21.xml |
| 420 | Hipersônico | 500 | ppes22.xml |
| 421 | Ultrasônico | 500 | ppes23.xml |
| 422 | Perseguidor | 1000 | ppes31.xml |
| 423 | Caçador | 1000 | ppes32.xml |
| 424 | Rastreador | 1000 | ppes33.xml |
| 432 | Acrobata | 10 | immortal21.xml |
| 433 | Equilibrista | 10 | immortal22.xml |
| 434 | Contorcionista | 10 | immortal23.xml |
| 435 | Fique Vivo | 100 | immortal31.xml |
| 436 | Sobrevivência a Qualquer Custo | 100 | immortal32.xml |
| 437 | Invulnerável | 100 | immortal33.xml |
| 440 | Fuzil dos Sonhos | 5000 | sr26kill.xml |
| 446 | Eliminações de Kukri | 5000 | kn07kill.xml |
| 448 | Pegando Leve | 5000 | sr15kill.xml |
| 460 | Mil e Uma Utilidades | 5000 | kn06kill.xml |
| 463 | Poderosa... | 5000 | sr09kill.xml |
| 466 | Ficção Científica Militar | 5000 | ar05kill.xml |
| 469 | Samurai | 5000 | kn13kill.xml |
| 473 | Força Interior | 5000 | ar23kill.xml |
| 475 | Carga Paga | 5000 | sr16kill.xml |
| 480 | Olho de Deus | 5000 | sr17kill.xml |
| 484 | Fogo de Dragão | 10000 | dragon03kill.xml |
| 487 | Véspera de Todos os Santos | 10 | wintdm_farm_hw.xml |
| 490 | Nevasca | 1000 | snow2kill.xml |
| 491 | Toque Gélido | 1000 | snow3kill.xml |
| 493 | Type 97 Elite Coroa | 1000 | ar16_crown02kill.xml |
| 496 | MK14 EBR Elite Coroa | 1000 | sr13_crown02kill.xml |
| 498 | Sobrevivência do Mais Apto | 5000 | kn10_kill.xml |
| 500 | Precisamos Subir Mais... | 1 | winsurvivalrifleman.xml |
| 501 | Cirurgia Sem Anestesia | 1 | winsurvivalmedic.xml |
| 502 | Confie Em Mim, Sou um Engenheiro! | 1 | winsurvivalengineer.xml |
| 503 | Dá Pra Ver Minha Casa Daqui! | 1 | winsurvivalsniper.xml |
| 527 | Ameaça a Oberon | 25 | survivalheavygunner03.xml |
| 600 | Matar... Cara... Grande... | 10 | zombie_boss_kills_1.xml |
| 601 | Vítima de Experimentos | 50 | zombie_boss_kills_2.xml |
| 602 | Armagedom Cibernético | 100 | zombie_boss_kills_3.xml |
| 621 | Ágil | 5 | zombie_nodeath_1.xml |
| 622 | Evasivo | 5 | zombie_nodeath_2.xml |
| 623 | Impostor | 5 | zombie_nodeath_3.xml |
| 624 | Engenheiro Aprimorado | 5 | zombie_engineer.xml |
| 625 | Fuzileiro Aprimorado | 5 | zombie_rifleman.xml |
| 626 | Médico Aprimorado | 5 | zombie_medic.xml |
| 627 | Mais Rápido Que a Luz | 5000 | sr32kill.xml |
| 698 | Franco-atirador Aprimorado | 5 | zombie_sniper.xml |
| 718 | M16A3 de Elite | 1000 | ar12_crown02kill.xml |
| 721 | AX308 de Elite | 1000 | sr31_crown02kill.xml |
| 809 | Um Núcleo Para Todos Dominar | 5000 | snipercorecaptured1.xml |
| 810 | Sakura Core Captor | 5000 | mediccorecaptured1.xml |
| 811 | Campo Minado | 5000 | engineercorecaptured1.xml |
| 812 | Você Quer Viver Para Sempre? | 5000 | riflemancorecaptured1.xml |
| 852 | Colecionador de Ossos | 2500 | hnt_collectdogtags_03.xml |
| 857 | Não Adianta Se Esconder | 10 | hnt_1th_place_01.xml |
| 858 | Medo da Morte | 1 | hnt_win_without_death_01.xml |
| 860 | Sucessor digno | 5000 | sr48_kill.xml |
| 861 | Avançado: Sucessor digno | 10000 | sr48kill25.xml |
| 862 | Anel da fúria | 999 | sr48_gold_kill_01.xml |
| 863 | Inovação Mortal | 5000 | sr49_kill.xml |
| 864 | Avançado: Inovação Mortal | 10000 | sr49_kill25.xml |
| 867 | Open Cup 2019: Matador | 10000 | oc04_stripe_01.xml |
| 901 | Geladinho, o Pistoleiro | 1 | rw_compmarathon1.xml |
| 902 | Você Quer Brincar na Neve? | 1 | rw_compmarathon3.xml |
| 903 | Anjo de Neve | 1 | rw_compmarathon2.xml |
| 904 | Fogo e Gelo | 1 | rw_compmarathon4.xml |
| 908 | Membro do Clube do Urso Polar | 1 | rw_survivor4.xml |
| 928 | O Visco Branco | 2000 | sr03xmaskill.xml |
| 933 | Trá! Trá! Trá! | 30 | pt66kill03.xml |
| 936 | Velhote Dourado | 999 | mg23_gold01kill.xml |
| 949 | Versátil | 4 | heist_stripe_01.xml |
| 950 | Procurado por atirar! | 1 | heist_stripe_02.xml |
| 951 | Procurado por curar! | 1 | heist_stripe_03.xml |
| 952 | Procurado por assassinato! | 1 | heist_stripe_04.xml |
| 953 | Procurado por lançar minas! | 1 | heist_stripe_05.xml |
| 954 | Não é a minha primeira vez | 19 | heist_stripe_06.xml |
| 955 | Horda voraz | 25 | heist_stripe_07.xml |
| 961 | Além das Expectativas | 5000 | ar36_crown03_kill5000_stripe.xml |
| 962 | Parrot Furiosa | 5000 | pt37_crown03_kill5000_stripe.xml |
| 963 | Dragão Imperador | 5000 | shg52_crown03_kill5000_stripe.xml |
| 964 | Números Mágicos | 5000 | smg45_crown03_kill5000_stripe.xml |
| 965 | Eliminação por Remington | 5000 | sr44_crown03_kill5000_stripe.xml |
| 1004 | FN SCAR-H Elite Coroa | 1000 | ar11_crown02kill.xml |
| 1005 | ACR Elite Coroa | 1000 | ar20_crown02kill.xml |
| 1007 | AS50 Elite Coroa | 1000 | sr04_crown02kill.xml |
| 1010 | Presentes Para Todos | 250 | xmaskill_4.xml |
| 1012 | Mestre da Precisão... | 5000 | sr31_kill.xml |
| 1017 | Minerador | 999 | pt01_gold_kill_03.xml |
| 1022 | Bonitinha Mas Ordinária | 1000 | pt30_pink01_kill.xml |
| 1024 | Corrida do Ouro | 999 | shg35_gold_kill_01.xml |
| 1025 | Prêmio Digno | 999 | smg31_gold_kill_01.xml |
| 1026 | Ouro e Poder | 999 | sr31_gold_kill_01.xml |
| 1027 | Melhor Arma do Mundo? | 999 | ar22_gold_kill_01.xml |
| 1028 | Fúria de Bordas Douradas | 999 | smg10_gold_kill_01.xml |
| 1029 | Está Chovendo Ouro | 999 | mg07_gold_kill_01.xml |
| 1030 | Glória, Fama, Excelência | 999 | ar12_gold_kill_01.xml |
| 1032 | O Ouro Selvagem | 999 | shg07_gold_kill_01.xml |
| 1033 | O Nêmese | 5000 | sr33kill.xml |
| 1034 | Alpinista Dourado | 999 | sr33_gold_kill_01.xml |
| 1035 | Soco Surpresa | 999 | sr04_gold_kill_01.xml |
| 1036 | Visão de Atirador | 999 | sr14_gold_kill_01.xml |
| 1037 | Ataque Ambicioso | 999 | ar11_gold_kill_01.xml |
| 1039 | Leão de Nemeia | 999 | shg37_gold_kill_01.xml |
| 1041 | Quebrando o Gelo | 5000 | kn14kill.xml |
| 1042 | Velho Açougueiro Chinês | 5000 | kn15kill.xml |
| 1052 | Batedor Australiano | 5000 | sr34kill.xml |
| 1053 | Caçador de Cervos | 999 | sr34_gold_kill_01.xml |
| 1059 | Caçador de Cabeças | 100 | headcombokill1.xml |
| 1060 | Caçador de Cabeças Habilidoso | 500 | headcombokill2.xml |
| 1061 | Caçador de Cabeças Profissional | 1000 | headcombokill3.xml |
| 1067 | Ratéis Não Dão a Mínima | 999 | smg33_gold_kill_01.xml |
| 1069 | Mais Rápido Que o Vento | 1 | server_race03.xml |
| 1070 | Não Fique Entre Mim e a Festa | 1000 | ec_kills_01.xml |
| 1074 | Coruja Dourada | 999 | sr09_gold01kill.xml |
| 1075 | Rebatedor Certeiro | 5000 | sr47_kill.xml |
| 1076 | Avançado: Rebatedor Certeiro | 10000 | sr47kill25.xml |
| 1077 | Força Bruta | 999 | sr47_gold_kill_01.xml |
| 1080 | Pena Branca | 5000 | sr35kill.xml |
| 1081 | Pena Branca (Avançado) | 10000 | sr35kill25.xml |
| 1090 | Absolutemente Incrível | 1 | ap_strip_battle.xml |
| 1091 | Viajante Absoluto | 1 | ap_strip_allregions.xml |
| 1094 | Mestre Absoluto | 1 | ap_strip_battlepass_tasks.xml |
| 1098 | Ouro Letal | 999 | ar20_gold01_kill_01.xml |
| 1109 | Mestre do Planejamento | 1 | mc_referral_stripe.xml |
| 1111 | Olha o Johnny! | 5000 | kn16kill.xml |
| 1112 | Olha o Johnny Dourado! | 999 | kn16_gold01kill.xml |
| 1115 | Espírito do grande dragão | 1 | ru_kanobu_stripe_01.xml |
| 1201 | FN SCAR-H Black Shark | 2500 | ar11_zsd02kill15.xml |
| 1202 | Saiga Bullpup Black Shark | 2500 | shg07_zsd02kill15.xml |
| 1203 | XM8 Compact Black Shark | 2500 | smg08_zsd02kill15.xml |
| 1204 | Steyr Scout Black Shark | 2500 | sr34_zsd02kill15.xml |
| 1205 | Glock 18C Black Shark | 2500 | pt21_zsd02kill15.xml |
| 1206 | Machado Tático Black Shark | 2500 | kn16_zsd02kill15.xml |
| 1207 | Fabarm STF 12 Compact Black Shark | 2500 | shg37_zsd02kill15.xml |
| 1208 | M16A3 Quebra-gelo | 2500 | ar12_ice01kill15.xml |
| 1209 | Quebra-gelo Honey Badger | 2500 | smg33_ice01kill15.xml |
| 1210 | Steyr Scout Quebra-gelo | 2500 | sr34_ice01kill15.xml |
| 1211 | Fabarm STF 12 Compact Quebra-gelo | 2500 | shg37_ice01kill15.xml |
| 1212 | SIG Sauer P226 Quebra-gelo | 2500 | pt14_ice01kill15.xml |
| 1213 | Especialista em Machado Tático Quebra-gelo | 2500 | kn16_ice01kill15.xml |
| 1214 | Walther P99 Anúbis | 2500 | anubis_strip_01.xml |
| 1215 | PP2000 Anúbis | 2500 | anubis_strip_02.xml |
| 1216 | COLT Python Elite Anúbis | 2500 | anubis_strip_03.xml |
| 1217 | PP-19 Bizon Anúbis | 2500 | anubis_strip_04.xml |
| 1218 | Sidewinder Venom Anúbis | 2500 | anubis_strip_05.xml |
| 1219 | MSBS Radon Anúbis | 2500 | anubis_strip_06.xml |
| 1220 | Orsis T-5000 Anúbis | 2500 | anubis_strip_07.xml |
| 1221 | Alpine Anúbis | 2500 | anubis_strip_08.xml |
| 1222 | AK-103 Anúbis | 2500 | anubis_strip_09.xml |
| 1223 | Vepr Anúbis | 2500 | anubis_strip_10.xml |
| 1232 | Líder berserk | 1 | weekly_bp07_stripe_01.xml |
| 1235 | Coragem | 1 | progress_bp07_stripe_01.xml |
| 1243 | Toque Duplo | 5000 | ar43kill.xml |
| 1244 | Avançado: Toque Duplo | 10000 | ar43kill25.xml |
| 1245 | Sem chance | 999 | ar43_gold_kill_01.xml |
| 1246 | Espadachim negro | 10000 | rune_bp07_stripe_01.xml |
| 1251 | Rei berserk | 1 | tournament_bp07_stripe_01.xml |
| 1254 | Ano do Boi | 1 | ru_xmas20_stripe_01.xml |
| 1261 | Caçada selvagem | 10000 | camo08_stripe_01.xml |
| 1262 | Ajoelhe-se, Máquina | 50 | mech_kill03.xml |
| 1365 | Only Sluper! | 1 | ru_proleague_stripe_01.xml |
| 1366 | Only AG! | 1 | ru_proleague_stripe_02.xml |
| 1367 | Only Airborne! | 1 | ru_proleague_stripe_03.xml |
| 1368 | Only SinePonte! | 1 | ru_proleague_stripe_04.xml |
| 1369 | Only ArenaStars! | 1 | ru_proleague_stripe_05.xml |
| 1370 | Only Squezzers! | 1 | ru_proleague_stripe_06.xml |
| 1371 | Only БЕЗ ПОНТОВ! | 1 | ru_proleague_stripe_07.xml |
| 1372 | Only AD ASTRA! | 1 | ru_proleague_stripe_08.xml |
| 1373 | Only F4F4! | 1 | ru_proleague_stripe_09.xml |
| 1374 | Only Young Stars! | 1 | ru_proleague_stripe_10.xml |
| 1392 | A Gota d'Água I | 1 | ru_wfpro_lanfinal_stripe01.xml |
| 1393 | A Gota d'Água II | 1 | ru_wfpro_lanfinal_stripe02.xml |
| 1394 | A Gota d'Água III | 1 | ru_wfpro_lanfinal_stripe03.xml |
| 1395 | A Gota d'Água IV | 1 | ru_wfpro_lanfinal_stripe04.xml |
| 1396 | A Gota d'Água V | 1 | ru_wfpro_lanfinal_stripe05.xml |
| 1397 | Competidor Lendário | 1 | ru_wfpro_lanfinal_stripe06.xml |
| 1400 | AN-94 Abakan Heat | 2500 | ar43_heist03kill.xml |
| 1401 | Howa Type 89 Custom Heat | 2500 | ar39_heist03kill.xml |
| 1402 | H&K MG5 121 Heat | 2500 | mg26_heist03kill.xml |
| 1403 | Benelli M4 Custom Heat | 2500 | shg56_heist03kill.xml |
| 1404 | Hunt Group MH12 Heat | 2500 | shg57_heist03kill.xml |
| 1405 | Marlin 1894 Custom Heat | 2500 | shg50_heist03kill.xml |
| 1406 | PP-19-01 Vityaz Heat | 2500 | smg54_heist03kill.xml |
| 1407 | AMB-17 Heat | 2500 | smg53_heist03kill.xml |
| 1408 | ACR CQB Custom Heat | 2500 | smg52_heist03kill.xml |
| 1409 | VKS Heat | 2500 | sr50_heist03kill.xml |
| 1410 | SV-98 Heat | 2500 | sr48_heist03kill.xml |
| 1411 | M14 Crazy Horse Heat | 2500 | sr38_heist03kill.xml |
| 1412 | Ruger Mark IV Lite Heat | 2500 | pt42_heist03kill.xml |
| 1413 | S&W M&P R8 Heat | 2500 | pt33_heist03kill.xml |
| 1414 | Faca Karambit Heat | 2500 | kn45_heist03kill.xml |
| 2048 | Exército Britânico | 5000 | ar25kill.xml |
| 2049 | Exército Britânico (Avançado) | 10000 | ar25kill25.xml |
| 2050 | Bullpup Britânica | 999 | ar25_gold_kill_01.xml |
| 2086 | Colheita da Dor | 999 | hits_04.xml |
| 2087 | Colheita da Dor (Avançado) | 15000 | hits_05.xml |
| 2088 | A Grande Colheita da Dor | 50000 | hits_06.xml |
| 2097 | Trens Dourados | 999 | shg42_gold_kill_01.xml |
| 2099 | Superestrela | 1 | youtube_05.xml |
| 2116 | Faixa do Zodíaco | 1 | zodiac_stripe_01.xml |
| 2120 | Armada Tcheca | 999 | pt32_gold01kill.xml |
| 2159 | Atirador de Elite Urbano | 999 | sr36_gold_kill_01.xml |
| 2160 | Franco-atirador de Rua | 5000 | sr36kill.xml |
| 2161 | Franco-atirador de Rua (Avançado) | 10000 | sr36kill25.xml |
| 2162 | Matador de Tubarão | 5000 | zt01kills01.xml |
| 2168 | Nômade Dourado | 999 | mg22_gold_kill_01.xml |
| 2172 | Cibercaçador | 3000 | zt01kill04.xml |
| 2173 | Cibercaçador (Avançado) | 5000 | zt01kill05.xml |
| 2174 | Cibercaçador (Mestre) | 10000 | zt01kill06.xml |
| 2178 | Especialista em Tecnologia Ilegal | 1 | zt01_survivor01.xml |
| 2179 | Especialista em Primeiros Socorros Ilegal | 1 | zt01_survivor02.xml |
| 2180 | Especialista em Tiroteios Ilegal | 1 | zt01_survivor03.xml |
| 2181 | Sentinela Especialista Ilegal | 1 | zt01_survivor04.xml |
| 2197 | First Year Together | 1 | west_anniversary_04.xml |
| 2198 | Second Year Together | 1 | west_anniversary_05.xml |
| 2199 | Third Year Together | 1 | west_anniversary_06.xml |
| 2200 | Executor (avançado) | 10000 | kn01kill25.xml |
| 2201 | Domínio da Ultra Marine (avançado) | 10000 | kn02kill25.xml |
| 2202 | Homem de Lata (avançado) | 10000 | kn03kill25.xml |
| 2203 | Domínio da Faca Militar (avançado) | 10000 | kn04kill25.xml |
| 2204 | Coveiro (avançado) | 10000 | kn05kill25.xml |
| 2205 | Mil e Uma Utilidades (avançado) | 10000 | kn06kill25.xml |
| 2206 | Eliminações de Kukri (Avançado) | 10000 | kn07kill25.xml |
| 2207 | Irmão Menor da Katana (Avançado) | 10000 | kn10kill25.xml |
| 2208 | Samurai (avançado) | 10000 | kn13kill25.xml |
| 2209 | Quebrando o Gelo (avançado) | 10000 | kn14kill25.xml |
| 2210 | Velho Açougueiro Chinês (avançado) | 10000 | kn15kill25.xml |
| 2211 | Domínio de Olha o Johnny! (Avançado) | 10000 | kn16kill25.xml |
| 2212 | A Parte Pontuda Vai no Outro Homem | 5000 | kn17kill.xml |
| 2213 | A Parte Pontuda Vai no Outro Homem (Avançado) | 10000 | kn17kill25.xml |
| 2216 | Esforço Compartilhado | 1 | ru_facebook_03.xml |
| 2219 | Contato | 1 | ru_vk_03.xml |
| 2222 | Uma Equipe | 1 | ru_odnoklassniki_03.xml |
| 2223 | Fuga da Prisão | 5000 | ar28kill.xml |
| 2224 | Fuga da Prisão (Avançado) | 10000 | ar28kill25.xml |
| 2227 | Metasoma Evo-luída | 999 | smg38_gold_kill_01.xml |
| 2245 | A Fronteira Africana | 1 | aw_strip_01.xml |
| 2246 | A Fronteira Eurasiática | 1 | aw_strip_02.xml |
| 2247 | A Fronteira da América do Sul | 1 | aw_strip_03.xml |
| 2248 | A Fronteira da América do Norte | 1 | aw_strip_04.xml |
| 2249 | M1911A1 ATLAS | 2500 | aw_strip_05.xml |
| 2250 | CZ 75-Auto ATLAS | 2500 | aw_strip_06.xml |
| 2251 | PM-84 Glauberyt Personalizada ATLAS | 2500 | aw_strip_07.xml |
| 2252 | Jagdkommando ATLAS | 2500 | aw_strip_08.xml |
| 2253 | Machado Tático ATLAS | 2500 | aw_strip_09.xml |
| 2254 | Magpul FMG 9 ATLAS | 2500 | aw_strip_10.xml |
| 2255 | Dragunov SVU-AS ATLAS | 2500 | aw_strip_11.xml |
| 2256 | M40A5 ATLAS | 2500 | aw_strip_12.xml |
| 2257 | M249 Para ATLAS | 2500 | aw_strip_13.xml |
| 2258 | MAG-7 ATLAS | 2500 | aw_strip_14.xml |
| 2259 | MSBS Radon ATLAS | 2500 | aw_strip_15.xml |
| 2260 | Derya MK-10 VR 102 ATLAS | 2500 | aw_strip_16.xml |
| 2272 | My choice is adAstra | 1 | opencup2017_strip_01.xml |
| 2273 | My choice is Sluper | 1 | opencup2017_strip_02.xml |
| 2274 | My choice is AG | 1 | opencup2017_strip_03.xml |
| 2275 | My choice is ArenaStars | 1 | opencup2017_strip_04.xml |
| 2276 | My choice is KillPretty | 1 | opencup2017_strip_05.xml |
| 2277 | My choice is SinePonte | 1 | opencup2017_strip_06.xml |
| 2278 | My choice is SuperStars | 1 | opencup2017_strip_07.xml |
| 2279 | My choice is be3_IIoHToB | 1 | opencup2017_strip_08.xml |
| 2280 | My choice is Kovarnie | 1 | opencup2017_strip_09.xml |
| 2281 | My choice is hOpe | 1 | opencup2017_strip_10.xml |
| 2282 | Gigantesco! | 5000 | sr42_kill.xml |
| 2283 | Gigantesquíssimo! | 10000 | sr42kill25.xml |
| 2284 | Solid Snake Gigantesco | 999 | sr42_gold_kill_01.xml |
| 2289 | Eu Voltarei | 999 | shg44_gold_kill_01.xml |
| 2293 | Fuga Bem-sucedida Hardcore | 1 | afro02_survivor03.xml |
| 2294 | Mestre da Fuga (Fuzileiro) | 2000 | afro02_kills01.xml |
| 2295 | Mestre da Fuga (Médico) | 2000 | afro02_kills02.xml |
| 2296 | Mestre da Fuga (Engenheiro) | 2000 | afro02_kills03.xml |
| 2297 | Mestre da Fuga (Franco-atirador) | 2000 | afro02_kills04.xml |
| 2319 | Pela Nossa Liberdade e Pela Sua! | 5000 | ar26kill.xml |
| 2320 | Pela Nossa Liberdade e a Sua! (Avançado) | 10000 | ar26kill25.xml |
| 2321 | Atirador Preciso | 5000 | sr37kill.xml |
| 2322 | Atirador Preciso (Avançado) | 10000 | sr37kill25.xml |
| 2325 | PEG Dourada | 999 | shg40_gold_kill_01.xml |
| 2329 | Caubói de Ouro | 999 | pt33_gold01kill.xml |
| 2337 | Angulosidade Dourada | 999 | smg36_gold_kill_01.xml |
| 2338 | Mais Frio Que Coração de Ex | 10000 | ice01kills01.xml |
| 2343 | Nem Todos Foram Bons Este Ano | 1000000 | xmas02_kills03.xml |
| 2344 | Sr. Gelo | 1 | hnt_winter_win_01.xml |
| 2345 | Caçador Rigoroso | 50 | hnt_winter_win_02.xml |
| 2346 | Sangue-Frio | 100 | hnt_winter_win_03.xml |
| 2347 | Caçador de Natal | 5 | hnt_winter_win_xmas_01.xml |
| 2352 | Floresta Negra | 1 | animal_set_02.xml |
| 2366 | Olha o Meu Cavalo | 5000 | sr38_kill.xml |
| 2367 | Olha o Meu Cavalo (Avançado) | 10000 | sr38kill25.xml |
| 2368 | Meu Cavalo é Demais | 999 | sr38_gold_kill_01.xml |
| 2369 | Caçador Máximo | 2500 | ar26set11kill.xml |
| 2372 | Quebra-gelo (Fuzileiro) | 1 | ice_survivor3.xml |
| 2373 | Quebra-gelo (Médico) | 1 | ice_survivor4.xml |
| 2374 | Quebra-gelo (Engenheiro) | 1 | ice_survivor5.xml |
| 2375 | Quebra-gelo (Franco-atirador) | 1 | ice_survivor6.xml |
| 2378 | Dominação Quebra-gelo | 10 | ice_kills02.xml |
| 2387 | Glock 18C Terremoto | 2500 | pt21_lava01kill15.xml |
| 2388 | SIG Sauer P226 Terremoto | 2500 | pt14_lava01kill15.xml |
| 2389 | Katana Terremoto | 2500 | kn13_lava01kill15.xml |
| 2390 | Machete Kukri Terremoto | 2500 | kn07_lava01kill15.xml |
| 2391 | Mossberg 500 Terremoto Personalizada | 2500 | shg08_lava01kill15.xml |
| 2392 | SCAR-L PDW Terremoto | 2500 | smg31_lava01kill15.xml |
| 2393 | ACR Terremoto | 2500 | ar20_lava01kill15.xml |
| 2394 | AX308 Terremoto | 2500 | sr31_lava01kill15.xml |
| 2395 | CS5 McMillan Terremoto | 2500 | sr09_lava01kill15.xml |
| 2396 | ACR CQB Terremoto | 2500 | smg25_lava01kill15.xml |
| 2397 | Magmatic SIX 12 Terramoto | 2500 | shg32_lava01kill15.xml |
| 2398 | Type 97 Terremoto | 2500 | ar16_lava01kill15.xml |
| 2426 | ML XM8 Anticiborgue | 2500 | mg05_zsd03kill15.xml |
| 2427 | Vepr Anticiborgue | 2500 | shg04_zsd03kill15.xml |
| 2428 | PP-19 Bizon Anticiborgue | 2500 | smg18_zsd03kill15.xml |
| 2429 | Tavor STAR-21 Anticiborgue | 2500 | sr12_clr01_zsd03kill15.xml |
| 2430 | FN Five Seven Anticiborgue | 2500 | pt22_zsd03kill15.xml |
| 2431 | Pá Anticiborgue | 2500 | kn05_zsd03kill15.xml |
| 2452 | Minha Segunda Chance É Sua Última | 999 | pt14_gold01kill.xml |
| 2453 | Sinônimo de Precisão | 5000 | sr39kill.xml |
| 2454 | Reencarnação da Guerra Ártica | 10000 | sr39kill25.xml |
| 2470 | AT308 Absolute | 2500 | ap_strip_01.xml |
| 2471 | Desert Eagle Absolute | 2500 | ap_strip_02.xml |
| 2472 | Glock 18C Absolute | 2500 | ap_strip_03.xml |
| 2473 | Beretta ARX160 Absolute | 2500 | ap_strip_04.xml |
| 2474 | SAI GRY AR-15 Absolute | 2500 | ap_strip_05.xml |
| 2475 | Saiga H.G.C. Custom Absolute | 2500 | ap_strip_06.xml |
| 2476 | DP-12 Absolute | 2500 | ap_strip_07.xml |
| 2477 | H&K UMP Absolute | 2500 | ap_strip_08.xml |
| 2478 | H&K MP5A5 Personalizada Absolute | 2500 | ap_strip_09.xml |
| 2479 | M14 Crazy Horse Absolute | 2500 | ap_strip_10.xml |
| 2480 | Black Hawk Absolute | 2500 | ap_strip_11.xml |
| 2483 | MPA 930DMG Absolute | 2500 | ap_strip_12.xml |
| 2486 | Lagarto do Deserto Dourado | 999 | smg40_gold_kill_01.xml |
| 2487 | Exterminador de SED | 20 | chernobyl_stripe_sed_01.xml |
| 2488 | FAL Clássica | 5000 | ar30kill.xml |
| 2489 | FAL Clássica Avançada | 10000 | ar30kill25.xml |
| 2499 | FAL Clássica Dourada | 999 | ar30_gold_kill_01.xml |
| 2553 | Alfalicioso | 5000 | ar29kill.xml |
| 2554 | Alfalicioso (Avançado) | 10000 | ar29kill25.xml |
| 2555 | Alfalicioso dourado | 999 | ar29_gold_kill_01.xml |
| 2557 | Ave de ouro | 999 | pt37_gold01kill.xml |
| 2600 | Monte Tabor (Avançado) | 10000 | ar01kill25.xml |
| 2601 | Fuzileiros Também São Soldados (Avançado) | 10000 | ar02kill25.xml |
| 2602 | Cobra (Avançado) | 10000 | ar03kill25.xml |
| 2603 | Especialista Siberiano (Avançado) | 10000 | ar04kill25.xml |
| 2604 | Domínio do XM8 (Avançado) | 10000 | ar05kill25.xml |
| 2605 | Qualidade Alemã (Avançado) | 10000 | ar06kill25.xml |
| 2606 | Picada Semiautomática (Avançado) | 10000 | ar07kill25.xml |
| 2607 | Schweizer Armee (Avançado) | 10000 | ar08kill25.xml |
| 2608 | Força ROK (Avançado) | 10000 | ar09kill25.xml |
| 2609 | Forças Armadas Belgas (Avançado) | 10000 | ar10kill25.xml |
| 2610 | Forças de Operações Especiais (Avançado) | 10000 | ar11kill25.xml |
| 2611 | Fuzileiro Naval (Avançado) | 10000 | ar12kill25.xml |
| 2612 | Fusil d'Assaut (Avançado) | 10000 | ar13kill25.xml |
| 2613 | Guarda-costas (Avançado) | 10000 | ar15kill25.xml |
| 2614 | Qing Buqiang Zu (Avançado) | 10000 | ar16kill25.xml |
| 2615 | Condições Áridas (Avançado) | 10000 | ar17kill25.xml |
| 2616 | Combate Superior (Avançado) | 10000 | ar20kill25.xml |
| 2617 | AK-47 (Avançado) | 10000 | ar22kill25.xml |
| 2618 | Força Interior (Avançado) | 10000 | ar23kill25.xml |
| 2619 | Exército Brasileiro (Avançado) | 10000 | ar24kill25.xml |
